Symbol,Current Price,Forecasted Price (30 days),Profit/Loss (30 days),Forecasted Price (6 months),Profit/Loss (6 months)
AAPL,242.65,155.26,-87.39,155.26,-87.39
MSFT,431.2,296.3,-134.9,296.3,-134.9
AMZN,213.44,147.13,-66.31,147.13,-66.31
GOOGL,171.34,119.53,-51.81,119.53,-51.81
GOOG,173.02,120.37,-52.65,120.37,-52.65
META,613.65,299.63,-314.02,299.63,-314.02
NVDA,140.26,37.99,-102.27,37.99,-102.27
TSLA,351.42,215.76,-135.66,215.76,-135.66
JPM,244.82,146.75,-98.07,146.75,-98.07
JNJ,152.36,160.42,8.06,160.42,8.06
V,313.01,227.16,-85.85,227.16,-85.85
UNH,605.23,453.47,-151.76,453.47,-151.76
WMT,93.51,51.33,-42.18,51.33,-42.18
PG,175.42,145.81,-29.61,145.81,-29.61
MA,526.18,372.91,-153.27,372.91,-153.27
HD,429.35,313.82,-115.53,313.82,-115.53
BAC,46.82,34.46,-12.36,34.46,-12.36
PFE,25.56,38.57,13.01,38.57,13.01
DIS,116.45,121.73,5.28,121.73,5.28
VZ,43.83,47.1,3.27,47.1,3.27
KO,63.52,57.83,-5.69,57.83,-5.69
MRK,101.85,94.23,-7.62,94.23,-7.62
TMO,534.42,519.24,-15.18,519.24,-15.18
CSCO,59.48,49.2,-10.28,49.2,-10.28
CMCSA,42.86,44.05,1.19,44.05,1.19
NKE,78.86,115.75,36.89,115.75,36.89
XOM,117.67,83.47,-34.2,83.47,-34.2
PEP,161.7,161.67,-0.03,161.67,-0.03
ABBV,181.5,136.45,-45.05,136.45,-45.05
ABT,116.29,109.65,-6.64,109.65,-6.64
ORCL,182.89,91.34,-91.55,91.34,-91.55
COST,982.15,523.98,-458.17,523.98,-458.17
ACN,352.54,294.17,-58.37,294.17,-58.37
AVGO,168.15,72.57,-95.58,72.57,-95.58
MCD,294.5,250.64,-43.86,250.64,-43.86
DHR,240.87,226.03,-14.84,226.03,-14.84
MDT,85.71,96.78,11.07,96.78,11.07
LIN,458.12,329.37,-128.75,329.37,-128.75
HON,226.96,195.42,-31.54,195.42,-31.54
QCOM,162.58,136.78,-25.8,136.78,-25.8
TXN,197.23,169.93,-27.3,169.93,-27.3
UNP,236.99,215.95,-21.04,215.95,-21.04
LLY,813.33,393.41,-419.92,393.41,-419.92
BMY,58.69,61.71,3.02,61.71,3.02
SBUX,101.57,94.7,-6.87,94.7,-6.87
GS,602.08,341.57,-260.51,341.57,-260.51
AMGN,278.32,252.9,-25.42,252.9,-25.42
RTX,118.1,87.75,-30.35,87.75,-30.35
C,71.42,55.49,-15.93,55.49,-15.93
MS,130.44,83.22,-47.22,83.22,-47.22
AMT,207.79,227.87,20.08,227.87,20.08
T,23.74,19.46,-4.28,19.46,-4.28
CAT,399.26,231.79,-167.47,231.79,-167.47
SPGI,518.19,386.22,-131.97,386.22,-131.97
BLK,1039.0,731.6,-307.4,731.6,-307.4
DE,459.25,344.04,-115.21,344.04,-115.21
ISRG,541.71,297.81,-243.9,297.81,-243.9
MMM,131.15,119.51,-11.64,119.51,-11.64
GE,180.72,78.05,-102.67,78.05,-102.67
ADP,303.57,214.46,-89.12,214.46,-89.12
BKNG,5214.38,2556.23,-2658.15,2556.23,-2658.15
MO,56.9,45.35,-11.55,45.35,-11.55
FIS,85.24,98.39,13.15,98.39,13.15
GILD,92.49,71.91,-20.58,71.91,-20.58
USB,52.1,45.04,-7.06,45.04,-7.06
SCHW,81.12,63.72,-17.4,63.72,-17.4
TGT,131.45,167.96,36.51,167.96,36.51
MMC,230.17,161.92,-68.25,161.92,-68.25
CI,334.9,261.95,-72.95,261.95,-72.95
CB,286.25,195.41,-90.84,195.41,-90.84
PNC,209.01,155.01,-54.0,155.01,-54.0
SO,86.26,67.97,-18.29,67.97,-18.29
AXP,302.11,164.92,-137.19,164.92,-137.19
COP,106.05,86.33,-19.72,86.33,-19.72
CL,94.61,80.35,-14.26,80.35,-14.26
MDLZ,64.81,63.91,-0.9,63.91,-0.9
NOC,485.21,416.06,-69.15,416.06,-69.15
LMT,517.0,423.36,-93.64,423.36,-93.64
DUK,113.64,97.88,-15.76,97.88,-15.76
SYK,390.97,263.54,-127.43,263.54,-127.43
TJX,124.75,76.16,-48.59,76.16,-48.59
KMB,136.81,133.72,-3.09,133.72,-3.09
EXC,38.14,36.69,-1.45,36.69,-1.45
ADM,53.17,65.94,12.77,65.94,12.77
MPC,155.49,98.99,-56.5,98.99,-56.5
ORLY,1247.99,743.09,-504.9,743.09,-504.9
PSX,134.48,96.21,-38.27,96.21,-38.27
EOG,131.8,98.92,-32.88,98.92,-32.88
AON,385.56,279.07,-106.49,279.07,-106.49
MET,85.72,60.84,-24.88,60.84,-24.88
FISV,215.38,148.12,-67.26,148.12,-67.26
AEP,97.02,87.85,-9.17,87.85,-9.17
COF,187.06,118.05,-69.01,118.05,-69.01
ROP,566.86,457.2,-109.66,457.2,-109.66
CCI,104.69,146.22,41.53,146.22,41.53
KMI,27.42,17.38,-10.04,17.38,-10.04
EXPE,183.69,127.09,-56.6,127.09,-56.6
WBA,8.95,35.41,26.46,35.41,26.46
PSX,134.48,96.21,-38.27,96.21,-38.27
EOG,131.8,98.92,-32.88,98.92,-32.88
